id,user_id,Value,Time
1,104,71,2024-06-09 02:00:33
2,162,466,2024-03-04 22:30:33
3,56,331,2024-03-23 01:58:33
4,57,107,2024-04-04 12:34:33
5,64,160,2024-09-17 06:59:33
6,131,891,2024-06-18 03:22:33
7,197,204,2024-08-02 02:26:33
8,77,980,2024-12-27 04:27:33
9,182,170,2024-10-13 11:55:33
10,92,628,2024-07-05 11:05:33
11,167,957,2024-05-02 03:17:33
12,102,324,2024-06-09 09:48:33
13,38,727,2024-10-31 17:07:33
14,68,981,2024-06-28 21:29:33
15,168,238,2024-07-26 17:53:33
16,97,844,2024-03-11 00:37:33
17,123,899,2024-07-03 16:57:33
18,47,829,2024-05-26 21:02:33
19,31,871,2024-10-30 13:07:33
20,165,696,2024-05-02 15:40:33
21,149,217,2024-11-08 11:44:33
22,22,985,2024-03-10 19:42:33
23,161,110,2024-04-15 13:23:33
24,15,990,2024-03-25 15:29:33
25,154,341,2024-04-20 10:08:33
26,89,132,2024-06-01 13:13:33
27,72,770,2024-05-09 02:43:33
28,197,914,2024-04-29 12:09:33
29,151,97,2024-10-02 11:23:33
30,20,119,2024-04-28 17:37:33
31,138,138,2024-09-24 09:57:33
32,18,251,2024-06-05 20:48:33
33,100,939,2024-06-30 05:34:33
34,66,95,2024-07-10 10:13:33
35,176,849,2024-07-18 16:14:33
36,133,161,2024-12-18 07:35:33
37,90,377,2024-08-29 09:17:33
38,22,104,2024-11-12 23:51:33
39,162,65,2024-10-19 18:42:33
40,153,304,2024-10-13 23:13:33
41,145,836,2024-11-29 15:24:33
42,130,727,2024-04-11 05:55:33
43,90,609,2024-09-07 03:22:33
44,190,336,2024-04-15 03:11:33
45,177,90,2024-11-04 12:40:33
46,20,409,2024-03-12 13:16:33
47,141,781,2024-04-18 04:20:33
48,178,423,2024-11-19 20:36:33
49,184,124,2024-07-15 08:25:33
50,134,573,2024-11-06 19:16:33
51,197,638,2024-05-16 10:19:33
52,139,469,2024-12-07 17:22:33
53,25,434,2025-02-19 16:34:33
54,48,128,2024-06-07 00:44:33
55,151,894,2024-09-19 15:14:33
56,61,57,2024-03-21 15:06:33
57,195,609,2024-06-27 22:10:33
58,70,985,2024-12-05 18:54:33
59,13,681,2024-07-14 08:36:33
60,126,466,2024-10-31 15:30:33
61,13,692,2025-02-11 02:27:33
62,122,787,2024-06-05 02:35:33
63,5,653,2024-03-07 09:37:33
64,200,696,2024-09-19 03:16:33
65,196,341,2024-10-23 08:22:33
66,38,795,2024-06-29 08:19:33
67,193,317,2024-10-06 04:49:33
68,42,690,2024-11-23 04:03:33
69,105,105,2025-01-15 20:26:33
70,71,694,2024-08-15 14:30:33
71,132,829,2024-11-24 10:35:33
72,73,759,2024-04-12 22:31:33
73,100,672,2025-01-11 12:31:33
74,75,839,2024-06-12 22:57:33
75,52,813,2025-02-17 10:13:33
76,36,634,2024-12-27 10:19:33
