id,user_id,Value,Time
1,79,0.94,2024-06-15 22:52:33
2,126,14.35,2024-06-08 19:47:33
3,35,10.06,2024-06-30 15:16:33
4,185,6.13,2024-12-13 15:15:33
5,74,10.16,2024-09-21 12:56:33
6,62,9.33,2024-10-11 20:06:33
7,85,1.54,2024-07-21 08:02:33
8,131,9.73,2024-04-02 10:55:33
9,118,14.41,2024-06-29 12:40:33
10,174,10.45,2024-07-08 13:38:33
11,126,10.78,2024-08-30 12:31:33
12,9,13.33,2024-03-30 21:18:33
13,96,12.37,2024-07-13 21:34:33
14,146,1.55,2024-09-02 19:39:33
15,42,2.14,2024-05-14 21:26:33
16,188,1.8,2024-02-27 22:44:33
17,141,3.57,2024-03-27 10:27:33
18,178,12.88,2024-06-07 04:45:33
19,139,10.33,2025-01-31 03:10:33
20,149,10.33,2024-06-20 19:32:33
21,64,13.89,2024-07-21 18:31:33
22,6,0.51,2024-12-30 10:46:33
23,144,1.8,2024-08-01 03:46:33
24,144,3.87,2024-04-06 21:35:33
25,114,8.25,2024-11-11 17:44:33
26,121,9.93,2024-05-07 15:11:33
27,87,12.08,2024-03-15 11:56:33
28,115,9.55,2024-08-05 05:50:33
29,72,2.14,2024-07-01 11:32:33
30,113,11.61,2024-09-29 18:21:33
31,148,10.8,2024-11-13 15:09:33
32,91,0.67,2024-10-12 19:48:33
33,116,5.62,2024-07-10 15:53:33
34,196,4.43,2024-05-29 16:18:33
35,35,14.39,2024-02-26 23:46:33
36,70,8.03,2024-04-17 01:37:33
37,52,1.68,2024-06-17 19:32:33
38,198,13.52,2024-05-24 12:55:33
39,156,3.0,2024-05-27 06:53:33
40,78,14.32,2024-06-27 02:59:33
41,159,6.84,2025-02-18 23:49:33
42,119,7.99,2024-09-24 16:00:33
43,9,4.07,2024-08-05 15:04:33
44,66,11.58,2024-03-07 09:37:33
45,11,1.09,2024-05-13 20:15:33
46,90,10.55,2024-03-23 11:15:33
47,79,10.63,2025-01-21 04:02:33
48,83,3.65,2025-01-26 09:36:33
49,86,4.44,2024-05-01 01:01:33
50,129,0.65,2024-08-18 17:44:33
51,176,3.5,2024-11-07 07:37:33
52,145,2.99,2025-02-16 04:23:33
53,99,14.44,2024-03-21 20:28:33
54,149,1.67,2024-03-16 11:41:33
55,33,8.1,2024-09-16 17:56:33
56,158,1.12,2024-05-27 18:07:33
57,167,3.92,2024-04-02 13:06:33
58,154,1.68,2025-02-16 10:22:33
59,60,1.45,2025-02-07 06:25:33
60,43,0.83,2024-04-30 04:20:33
61,125,7.96,2024-11-05 01:46:33
62,196,13.62,2024-07-04 12:22:33
63,34,6.55,2025-01-22 02:08:33
64,195,11.48,2024-09-20 23:09:33
65,193,4.32,2024-11-08 09:50:33
66,74,12.61,2024-08-28 14:10:33
67,78,2.7,2025-01-06 10:16:33
68,138,13.26,2024-10-26 08:29:33
69,57,10.83,2024-03-19 15:52:33
70,63,2.83,2025-02-09 23:13:33
71,113,0.96,2024-03-08 15:32:33
72,124,5.26,2024-09-11 21:28:33
73,51,13.21,2024-06-16 07:21:33
74,92,13.5,2024-06-21 08:23:33
75,161,14.06,2024-05-11 21:25:33
76,43,5.91,2024-05-30 08:34:33
77,61,10.91,2024-06-03 09:21:33
78,124,5.89,2024-06-17 11:57:33
79,158,2.83,2024-05-05 15:40:33
80,181,12.28,2024-03-25 13:03:33
81,4,3.95,2024-09-18 23:09:33
82,144,5.26,2024-11-23 06:16:33
83,171,4.6,2024-08-07 10:04:33
84,97,0.88,2024-05-04 21:47:33
85,3,14.7,2024-08-16 00:22:33
86,197,6.76,2024-05-20 04:58:33
87,200,8.83,2024-04-10 18:55:33
88,120,7.4,2024-03-22 05:58:33
89,153,6.18,2024-05-02 08:22:33
90,185,3.21,2024-03-07 14:59:33
91,88,0.55,2024-04-01 23:05:33
92,69,4.69,2024-10-31 18:16:33
93,147,6.49,2024-03-26 01:14:33
94,106,8.85,2024-06-26 19:21:33
95,49,8.58,2024-04-18 06:37:33
96,73,10.2,2024-12-22 16:11:33
97,81,10.51,2024-11-13 07:49:33
98,102,12.67,2025-01-19 00:16:33
99,21,8.55,2024-05-03 06:54:33
100,29,3.85,2024-04-26 12:25:33
101,51,11.02,2024-04-19 22:38:33
102,186,5.7,2024-05-21 05:44:33
103,81,2.34,2024-06-02 13:27:33
104,168,7.73,2025-02-13 15:50:33
105,148,6.71,2025-01-31 05:27:33
106,6,4.24,2024-05-15 13:56:33
107,169,4.36,2025-01-02 14:01:33
108,128,11.18,2024-09-21 13:43:33
109,193,8.51,2024-06-03 06:22:33
110,30,7.61,2024-06-30 16:52:33
111,91,7.58,2024-02-27 07:33:33
112,147,10.03,2024-06-20 20:29:33
113,161,9.12,2024-07-09 12:55:33
114,153,1.79,2024-06-15 07:07:33
115,146,12.98,2024-04-01 02:47:33
116,82,10.29,2024-08-30 02:09:33
117,130,9.66,2024-09-29 09:05:33
118,155,2.11,2024-12-21 08:31:33
119,16,3.62,2024-08-03 03:46:33
120,83,6.9,2024-03-04 14:16:33
121,43,5.18,2024-02-27 13:30:33
122,106,6.48,2024-09-03 07:23:33
123,168,1.24,2024-03-22 11:45:33
124,156,13.8,2024-07-02 03:53:33
125,38,5.05,2024-03-11 08:31:33
126,73,11.15,2024-10-18 13:43:33
127,160,7.54,2025-01-28 00:26:33
128,86,6.87,2024-05-12 22:35:33
129,183,3.81,2024-12-12 18:27:33
130,50,5.61,2025-02-04 22:58:33
131,65,8.87,2025-01-05 06:36:33
132,196,14.06,2024-11-03 20:29:33
133,123,10.72,2024-03-25 16:48:33
134,150,8.39,2024-12-28 08:58:33
135,20,2.43,2024-07-14 06:55:33
136,141,12.67,2024-07-07 05:29:33
137,27,8.68,2024-07-02 04:44:33
138,137,13.89,2024-08-02 15:30:33
139,4,12.42,2024-07-26 05:56:33
140,7,6.08,2024-08-24 05:41:33
141,152,6.93,2024-10-22 11:51:33
142,84,6.16,2024-07-17 06:08:33
143,52,13.85,2024-03-24 17:50:33
144,59,1.65,2024-04-21 19:03:33
145,43,5.96,2024-07-09 07:26:33
146,102,6.47,2024-07-10 18:09:33
147,155,9.73,2025-01-11 21:34:33
148,121,6.71,2024-10-04 09:49:33
149,3,8.93,2024-11-12 23:04:33
150,18,14.11,2024-09-27 15:33:33
151,97,11.26,2025-01-10 03:30:33
152,91,8.19,2024-10-28 03:59:33
153,163,5.79,2024-07-14 04:10:33
154,112,1.55,2024-10-30 23:54:33
155,17,7.14,2025-02-20 04:09:33
156,129,3.91,2024-12-28 21:30:33
157,75,14.62,2024-12-01 23:39:33
158,159,14.65,2024-07-22 05:30:33
159,164,5.48,2024-05-13 16:33:33
160,50,1.51,2024-04-15 06:21:33
161,78,12.74,2024-07-07 09:02:33
162,79,9.28,2025-01-13 23:38:33
163,147,6.3,2024-05-23 03:46:33
164,20,6.19,2024-11-13 10:11:33
165,60,4.31,2024-12-14 00:20:33
166,12,3.2,2024-07-22 15:37:33
167,6,5.54,2024-07-27 01:45:33
168,159,2.48,2024-04-03 11:55:33
169,58,11.09,2024-08-11 00:02:33
170,157,13.06,2024-05-31 10:57:33
171,190,8.11,2024-09-28 01:45:33
172,27,8.32,2024-12-20 19:26:33
173,109,3.93,2024-12-28 02:40:33
174,101,14.52,2024-07-09 16:12:33
175,10,7.83,2024-10-08 01:43:33
176,119,7.77,2024-06-10 23:54:33
177,74,12.95,2024-04-10 21:28:33
178,126,7.79,2024-03-30 21:07:33
179,154,10.5,2024-08-28 02:31:33
180,41,4.37,2024-04-13 19:46:33
181,51,3.25,2024-07-14 20:36:33
182,125,13.45,2024-10-15 17:09:33
183,88,14.54,2025-01-16 16:58:33
184,129,11.87,2024-07-24 23:28:33
185,114,4.23,2024-11-04 09:59:33
186,92,7.48,2025-02-17 14:13:33
187,59,7.0,2024-12-30 04:48:33
188,39,1.55,2025-01-31 05:53:33
189,31,1.8,2025-01-27 01:31:33
190,179,5.34,2024-09-29 10:48:33
191,78,2.21,2024-03-11 21:22:33
192,142,9.27,2024-05-03 22:21:33
193,160,4.1,2025-02-05 13:38:33
194,135,12.28,2024-06-14 20:33:33
195,97,8.55,2024-04-12 09:51:33
196,183,5.66,2025-01-19 21:08:33
197,10,11.73,2024-10-09 02:38:33
198,97,0.6,2024-05-25 18:18:33
199,55,0.99,2024-06-07 21:20:33
200,54,4.76,2024-03-02 23:40:33
201,96,5.53,2024-07-02 10:11:33
202,108,2.53,2024-08-30 23:53:33
203,99,7.57,2024-07-05 17:21:33
204,91,14.41,2024-08-11 03:26:33
205,111,10.26,2024-12-11 03:58:33
206,180,11.63,2024-12-01 03:54:33
207,183,5.8,2024-09-09 03:33:33
208,78,2.2,2024-03-20 09:08:33
209,161,9.72,2024-10-23 13:19:33
210,42,10.88,2024-04-24 08:32:33
211,120,1.7,2024-06-01 21:21:33
212,109,14.6,2024-05-16 01:46:33
213,15,5.72,2024-03-06 09:21:33
214,142,5.75,2024-09-09 11:45:33
215,56,2.75,2024-10-02 17:05:33
216,82,9.21,2024-06-03 04:29:33
217,163,11.08,2024-10-06 13:34:33
218,150,4.88,2024-09-05 08:55:33
219,177,11.46,2024-08-04 05:34:33
220,181,13.0,2024-10-28 10:15:33
221,87,8.56,2025-01-15 19:15:33
222,194,11.84,2024-05-08 01:37:33
223,159,11.85,2024-05-17 01:14:33
224,195,8.54,2024-03-18 03:21:33
225,189,0.71,2024-05-31 00:04:33
226,64,9.71,2024-09-13 09:32:33
227,115,0.72,2024-09-20 19:20:33
228,15,7.11,2024-08-07 11:49:33
229,200,3.96,2024-12-11 09:28:33
230,85,4.22,2024-08-24 14:37:33
231,110,3.27,2024-10-04 07:38:33
232,171,10.75,2024-07-28 16:40:33
233,64,1.6,2024-06-17 13:06:33
234,117,2.76,2025-02-02 02:07:33
235,63,8.12,2025-01-19 10:25:33
236,64,14.1,2024-07-12 21:08:33
237,170,2.81,2024-07-15 06:41:33
238,161,11.16,2025-01-10 03:04:33
239,34,10.05,2025-02-11 05:10:33
240,7,5.88,2024-12-01 09:37:33
241,51,9.48,2024-04-05 23:02:33
242,111,11.75,2024-12-22 02:19:33
243,90,5.94,2024-08-03 19:11:33
244,154,8.3,2024-06-20 17:48:33
245,113,12.11,2024-06-11 05:58:33
246,149,6.43,2024-07-01 23:28:33
247,181,2.57,2024-09-28 05:13:33
248,43,3.27,2024-04-17 13:50:33
249,12,3.17,2024-08-25 13:23:33
250,118,4.69,2024-03-22 17:57:33
251,192,14.68,2024-12-07 21:57:33
252,143,10.52,2024-11-19 04:48:33
253,120,14.83,2025-02-06 00:47:33
254,104,8.59,2025-02-08 00:30:33
255,113,7.75,2024-03-19 14:52:33
256,26,9.73,2024-12-21 11:32:33
257,74,6.09,2024-05-07 18:11:33
258,147,2.98,2024-04-20 16:05:33
259,105,2.49,2024-12-30 06:06:33
260,120,14.21,2024-12-02 04:54:33
261,70,3.86,2024-07-06 05:51:33
262,155,9.99,2024-03-09 06:50:33
263,73,4.09,2024-09-29 03:09:33
264,54,13.66,2024-11-10 10:50:33
265,4,13.86,2025-02-10 22:44:33
266,44,10.42,2024-08-26 19:41:33
267,94,5.87,2024-10-29 22:45:33
268,46,10.0,2024-08-31 03:42:33
269,174,13.1,2024-06-08 10:24:33
270,138,10.07,2025-01-04 18:35:33
271,167,3.23,2024-06-07 00:40:33
272,61,9.0,2025-02-04 22:08:33
273,65,5.77,2024-06-03 18:50:33
274,119,11.07,2024-12-06 05:53:33
275,65,9.21,2025-02-10 05:20:33
276,62,3.8,2024-08-27 19:24:33
