id,user_id,Value,Time
1,112,112,2024-07-09 10:41:33
2,200,143,2024-04-07 13:50:33
3,51,122,2024-11-02 09:12:33
4,38,66,2024-06-25 12:46:33
5,152,122,2024-07-29 11:09:33
6,135,167,2024-05-25 10:58:33
7,106,112,2024-07-13 22:05:33
8,192,66,2024-05-04 22:40:33
9,29,173,2024-12-16 01:36:33
10,122,95,2024-03-01 21:23:33
11,154,122,2024-06-18 22:58:33
12,10,74,2024-09-18 02:22:33
13,13,68,2024-04-10 22:15:33
14,146,112,2024-09-21 14:08:33
15,189,111,2024-08-05 18:24:33
16,4,114,2024-08-18 14:14:33
17,154,142,2024-04-17 10:23:33
18,4,104,2024-12-15 06:30:33
19,187,102,2024-07-24 03:18:33
20,136,108,2024-10-26 09:08:33
21,80,157,2024-05-28 01:13:33
22,151,125,2024-03-05 17:34:33
23,30,111,2024-06-09 21:37:33
24,66,75,2024-09-24 05:13:33
25,71,179,2024-09-14 22:08:33
26,107,58,2024-10-08 02:22:33
27,103,76,2024-06-30 01:07:33
28,95,175,2025-01-25 07:32:33
29,137,87,2024-03-10 01:18:33
30,110,111,2024-11-13 00:58:33
31,176,89,2024-11-09 11:06:33
32,150,172,2024-04-11 17:59:33
33,50,83,2024-11-02 23:17:33
34,200,151,2024-11-13 11:42:33
35,123,59,2024-08-08 02:47:33
36,109,58,2024-03-11 19:20:33
37,100,118,2024-03-02 03:04:33
38,73,61,2024-02-25 03:31:33
39,136,50,2024-10-16 01:48:33
40,81,98,2025-01-31 03:02:33
41,59,158,2024-05-17 10:46:33
42,196,146,2024-03-31 17:47:33
43,50,175,2024-07-05 02:51:33
44,66,128,2024-12-06 07:32:33
45,134,132,2025-01-31 20:26:33
46,8,89,2024-05-31 09:17:33
47,29,144,2024-03-01 03:41:33
48,81,106,2024-06-21 12:37:33
49,109,63,2025-01-25 16:25:33
50,74,152,2024-04-20 05:17:33
51,59,64,2024-11-04 03:01:33
52,180,150,2024-03-26 02:05:33
53,171,166,2024-11-04 11:18:33
54,52,126,2024-05-14 22:22:33
55,147,61,2024-07-22 15:53:33
56,169,69,2024-12-06 08:48:33
57,185,114,2024-04-21 12:21:33
58,60,150,2024-05-07 10:13:33
59,193,101,2024-07-30 22:51:33
60,74,110,2025-02-11 20:08:33
61,57,179,2024-05-29 19:44:33
62,28,76,2024-06-22 09:38:33
63,101,150,2024-09-10 23:51:33
64,33,136,2024-07-05 04:43:33
65,86,138,2024-08-09 09:22:33
66,91,157,2024-09-05 07:50:33
67,134,131,2024-02-27 23:00:33
68,133,71,2024-05-23 02:23:33
69,162,100,2025-02-11 11:52:33
70,92,147,2024-11-23 17:01:33
71,33,163,2024-09-14 10:51:33
72,88,52,2025-01-13 12:03:33
73,132,57,2024-07-13 13:03:33
74,178,73,2024-12-27 00:59:33
75,128,177,2024-07-19 19:50:33
76,173,92,2025-01-15 16:02:33
77,53,67,2024-12-03 00:25:33
78,174,84,2024-06-10 07:23:33
79,21,144,2024-09-26 21:03:33
80,186,68,2024-03-19 16:05:33
81,117,84,2024-08-20 09:52:33
82,171,123,2024-09-08 00:32:33
83,131,163,2024-04-12 17:18:33
84,73,86,2024-12-09 22:23:33
85,34,180,2024-03-20 02:41:33
86,84,98,2024-04-16 02:04:33
87,21,113,2024-07-25 23:10:33
88,84,131,2024-10-11 03:28:33
89,105,177,2024-08-09 10:45:33
90,101,69,2024-12-10 05:37:33
91,176,141,2024-06-19 23:38:33
92,139,127,2025-02-14 18:27:33
93,19,88,2024-05-21 23:48:33
94,196,53,2024-10-13 00:02:33
95,85,148,2024-11-18 15:07:33
96,131,110,2024-09-15 15:38:33
97,170,169,2024-12-28 01:46:33
98,117,174,2024-11-04 18:33:33
99,10,96,2024-08-21 08:26:33
100,29,66,2024-08-12 00:46:33
101,25,151,2024-09-13 01:26:33
102,6,132,2024-06-02 18:31:33
103,161,146,2024-05-20 02:26:33
104,52,148,2024-12-19 07:01:33
105,15,77,2025-01-18 07:51:33
106,164,74,2024-06-25 00:46:33
107,47,124,2025-02-08 10:27:33
108,105,151,2024-06-14 13:53:33
109,167,137,2024-12-08 04:17:33
110,104,179,2025-01-09 20:20:33
111,75,170,2024-10-09 02:26:33
112,189,179,2024-02-24 03:36:33
113,158,90,2025-02-11 13:40:33
114,198,98,2024-07-19 23:55:33
115,91,59,2024-08-30 02:16:33
116,76,142,2025-02-17 03:12:33
117,160,102,2024-08-01 16:02:33
118,149,165,2024-06-22 10:06:33
119,165,179,2024-04-09 02:20:33
120,105,144,2024-10-20 17:32:33
121,154,65,2024-12-20 22:02:33
122,134,128,2024-07-05 13:52:33
123,189,179,2024-05-31 14:44:33
124,60,137,2025-02-05 00:15:33
125,191,150,2024-08-13 04:05:33
126,151,60,2024-05-12 18:52:33
127,91,99,2024-11-10 01:25:33
128,144,90,2024-04-25 15:00:33
129,85,179,2024-10-10 03:04:33
130,101,180,2024-08-28 01:31:33
131,129,76,2024-04-20 06:05:33
132,32,90,2024-06-20 19:33:33
133,106,105,2024-08-04 16:49:33
134,82,123,2024-05-22 17:07:33
135,120,137,2024-09-11 01:45:33
136,194,135,2024-04-29 07:43:33
137,53,149,2024-11-16 00:33:33
138,132,142,2024-05-01 16:06:33
139,22,70,2024-08-21 19:50:33
140,77,97,2024-12-02 00:22:33
141,115,174,2024-04-22 18:55:33
142,121,91,2025-01-27 13:10:33
143,24,64,2024-11-15 22:14:33
144,56,77,2024-03-08 09:21:33
145,167,177,2024-06-21 15:01:33
146,196,122,2024-11-18 20:22:33
147,94,105,2024-04-19 13:25:33
148,173,85,2024-10-01 04:15:33
149,39,80,2024-04-12 08:43:33
150,94,52,2024-04-29 11:10:33
151,3,96,2024-07-13 13:03:33
152,31,161,2024-08-22 15:23:33
153,86,157,2024-12-08 12:13:33
154,143,89,2024-06-04 04:47:33
155,38,69,2024-04-30 09:47:33
156,72,69,2024-05-19 08:43:33
157,27,60,2025-01-02 10:33:33
158,145,111,2024-07-25 06:13:33
159,123,66,2024-04-16 07:49:33
160,59,161,2024-08-03 16:29:33
161,37,79,2024-03-24 10:58:33
162,97,66,2024-03-12 13:06:33
163,58,76,2024-10-13 14:17:33
164,141,62,2024-05-16 11:05:33
165,50,143,2024-08-21 18:55:33
166,28,87,2025-02-06 13:17:33
167,95,127,2024-11-04 22:08:33
168,153,94,2024-08-12 12:29:33
169,188,67,2024-03-14 00:58:33
170,200,85,2024-05-19 11:20:33
171,173,119,2024-06-11 15:23:33
172,43,150,2024-07-01 12:53:33
173,55,96,2024-07-17 21:13:33
174,10,160,2024-04-17 14:02:33
175,16,146,2024-05-13 12:16:33
176,196,64,2024-10-18 17:04:33
177,38,180,2024-10-15 15:44:33
178,42,72,2024-09-18 00:19:33
179,50,97,2025-01-05 03:37:33
180,141,83,2024-07-22 13:10:33
181,49,150,2024-04-22 08:48:33
182,182,157,2024-03-17 22:49:33
183,105,76,2024-10-30 07:14:33
184,122,55,2024-09-12 17:37:33
185,54,110,2025-01-27 14:42:33
186,182,164,2024-03-09 20:18:33
187,101,155,2024-07-13 23:29:33
188,55,153,2024-04-15 16:48:33
189,19,152,2024-04-14 13:31:33
190,58,164,2024-03-15 09:45:33
191,173,130,2024-11-02 11:53:33
192,52,156,2024-04-25 02:04:33
193,124,136,2024-05-24 12:35:33
194,124,69,2024-09-14 12:53:33
195,44,146,2024-03-02 05:29:33
196,105,93,2024-04-21 05:02:33
197,8,115,2024-12-16 10:47:33
198,123,171,2025-01-31 18:21:33
199,162,147,2024-06-03 10:43:33
200,41,158,2024-06-10 21:31:33
201,76,62,2024-12-27 18:13:33
202,3,116,2024-11-21 11:47:33
203,75,159,2024-03-16 04:29:33
204,5,51,2024-09-25 08:59:33
205,119,82,2024-08-05 19:22:33
206,159,63,2024-09-18 03:16:33
207,133,95,2024-03-01 22:50:33
208,70,70,2024-06-16 05:50:33
209,31,142,2024-03-29 10:57:33
210,25,142,2024-05-13 09:48:33
211,94,150,2024-12-18 10:15:33
212,51,138,2024-10-09 01:58:33
213,25,76,2024-11-09 11:05:33
214,75,160,2024-06-28 06:34:33
215,69,72,2024-07-11 01:58:33
216,78,50,2024-10-28 14:42:33
217,90,154,2024-04-01 09:21:33
218,115,118,2024-09-07 17:55:33
219,89,140,2024-07-07 05:31:33
220,169,95,2024-10-14 10:08:33
221,55,71,2024-05-19 14:56:33
222,23,97,2024-02-29 01:56:33
223,105,113,2024-07-31 06:09:33
224,77,75,2024-08-13 15:29:33
225,6,180,2024-09-05 11:38:33
226,90,71,2024-03-31 16:41:33
227,144,107,2024-10-06 15:46:33
228,56,65,2024-08-05 23:18:33
229,190,102,2024-07-15 15:15:33
230,3,52,2024-09-08 08:02:33
231,184,150,2025-01-18 21:01:33
232,36,79,2024-02-28 02:53:33
233,38,116,2024-06-10 16:40:33
234,34,158,2024-12-13 00:32:33
235,34,75,2024-12-11 22:24:33
236,24,86,2024-12-27 08:05:33
237,41,96,2025-01-17 06:04:33
238,197,84,2025-01-15 00:51:33
239,35,66,2024-06-24 07:06:33
240,164,58,2024-12-24 04:47:33
241,89,151,2024-05-25 19:28:33
242,34,172,2024-12-16 03:14:33
243,149,92,2024-06-06 12:45:33
244,182,64,2025-02-07 05:10:33
245,21,95,2024-04-10 12:38:33
246,63,126,2024-10-31 09:56:33
247,127,90,2024-04-28 10:43:33
248,96,150,2024-10-27 14:27:33
249,156,170,2024-07-23 23:09:33
250,131,145,2024-08-15 19:55:33
251,66,51,2024-04-02 10:25:33
252,33,129,2024-07-04 00:33:33
253,43,57,2024-12-13 14:09:33
254,152,174,2024-09-09 21:46:33
255,140,100,2024-07-09 15:12:33
256,121,134,2025-01-25 09:42:33
257,108,82,2024-06-14 14:09:33
258,103,157,2024-09-24 19:31:33
259,135,119,2024-10-22 09:45:33
260,67,104,2024-06-04 19:07:33
261,98,78,2025-02-11 09:07:33
262,120,140,2025-02-19 19:50:33
263,77,108,2024-08-17 16:23:33
264,60,138,2024-09-26 14:24:33
265,58,149,2024-12-23 14:05:33
266,154,90,2024-08-20 11:37:33
267,48,169,2024-07-06 18:14:33
268,173,87,2024-06-30 04:41:33
269,192,90,2024-07-13 15:19:33
270,98,161,2024-06-15 04:37:33
271,43,161,2024-04-02 09:57:33
272,200,176,2024-02-25 03:53:33
273,124,175,2024-10-23 07:22:33
274,172,159,2024-12-06 06:26:33
275,98,83,2024-04-09 14:09:33
276,115,134,2024-09-04 04:52:33
277,100,112,2024-08-03 00:30:33
278,36,126,2024-07-20 05:20:33
279,172,169,2024-06-27 08:32:33
280,175,145,2024-10-29 17:42:33
281,161,136,2024-10-24 18:02:33
282,137,123,2024-11-04 21:39:33
283,79,97,2024-04-02 11:36:33
284,114,107,2024-12-12 00:43:33
285,47,147,2025-02-04 16:25:33
286,176,113,2024-09-21 19:41:33
287,102,163,2024-12-08 05:34:33
288,122,78,2024-07-29 22:10:33
289,173,70,2024-10-30 06:33:33
290,97,61,2024-09-08 23:06:33
291,24,162,2024-09-26 08:48:33
292,142,157,2024-03-24 15:21:33
293,184,127,2024-11-07 07:15:33
294,103,104,2024-08-28 09:25:33
295,95,166,2024-04-28 06:14:33
296,19,54,2024-08-22 21:29:33
297,85,94,2024-02-25 21:36:33
298,157,136,2025-01-18 05:59:33
299,54,138,2024-06-09 04:17:33
300,182,85,2024-04-27 23:43:33
