id,user_id,Value,Time
1,36,18053,2024-05-22 11:36:33
2,149,8188,2024-04-27 04:59:33
3,150,3730,2024-11-25 00:29:33
4,168,9709,2024-08-03 07:19:33
5,30,15864,2025-02-20 18:54:33
6,6,14608,2024-11-03 14:02:33
7,29,18413,2024-11-18 00:21:33
8,14,9032,2024-11-07 03:07:33
9,1,18844,2024-09-05 10:18:33
10,51,12825,2024-10-18 18:51:33
11,127,10508,2024-10-18 07:39:33
12,162,12049,2024-08-29 13:04:33
13,139,19861,2024-09-16 09:16:33
14,59,2955,2024-08-10 19:35:33
15,101,14434,2024-02-24 20:20:33
16,140,18972,2024-07-22 16:22:33
17,151,10320,2024-12-08 17:06:33
18,104,12158,2024-05-29 11:26:33
19,190,1432,2024-05-24 16:43:33
20,31,3447,2024-07-05 01:39:33
21,63,17903,2024-05-07 01:25:33
22,82,3920,2024-03-13 20:57:33
23,109,7822,2024-10-30 17:00:33
24,83,14378,2024-05-22 21:50:33
25,87,10078,2024-05-16 03:23:33
26,23,10220,2025-02-20 06:47:33
27,53,7821,2024-08-14 01:26:33
28,65,11432,2024-05-06 15:24:33
29,196,13731,2024-08-02 08:25:33
30,65,1847,2024-08-29 12:41:33
31,112,14087,2024-10-06 14:53:33
32,4,16637,2024-09-05 18:36:33
33,71,9933,2024-11-11 10:55:33
34,1,19409,2024-06-08 20:44:33
35,50,4862,2024-12-04 16:50:33
36,164,17022,2024-12-21 18:13:33
37,16,19565,2024-11-15 22:40:33
38,110,5886,2024-09-21 06:40:33
39,154,8939,2025-01-03 14:22:33
40,114,17581,2024-07-08 04:17:33
41,53,18753,2024-07-31 02:56:33
42,21,1133,2024-05-04 13:46:33
43,183,7194,2024-11-20 19:23:33
44,200,9205,2024-03-01 15:50:33
45,158,13012,2024-11-09 17:15:33
46,145,7185,2024-07-19 21:57:33
47,126,3592,2024-04-05 20:49:33
48,162,13487,2024-12-05 19:29:33
49,99,9589,2024-03-21 04:40:33
50,108,7390,2024-02-27 15:57:33
51,161,7924,2024-03-12 06:24:33
52,34,7906,2024-05-15 04:23:33
53,44,9526,2025-02-16 17:16:33
54,161,13792,2024-06-29 01:39:33
55,154,11913,2024-04-13 01:46:33
56,169,18477,2024-11-23 06:00:33
57,176,10575,2024-05-02 05:59:33
58,69,1558,2024-06-19 20:46:33
59,59,5353,2024-03-17 12:16:33
60,127,13948,2024-11-28 05:40:33
61,28,12635,2024-08-30 06:10:33
62,153,11788,2024-07-21 22:51:33
63,171,3255,2024-05-14 12:48:33
64,127,5434,2024-10-19 16:03:33
65,104,12965,2024-07-22 05:57:33
66,154,14395,2025-02-04 03:03:33
67,150,14002,2024-12-09 09:59:33
68,75,18165,2024-06-10 00:30:33
69,132,10949,2024-04-21 21:12:33
70,33,1792,2024-12-03 08:59:33
71,26,12455,2025-02-09 04:36:33
72,180,4004,2025-01-26 18:23:33
73,145,9122,2024-07-28 05:08:33
74,149,14914,2024-04-27 07:10:33
75,61,12816,2025-01-08 02:26:33
76,130,18929,2024-07-24 14:41:33
77,89,5029,2024-10-30 22:11:33
